"","ID","ID.CapDate","X","Y","Capture.date","Grid","year","Sex","Age","EhungInt","HpolINF","PropOnGrid_10","NoNemInf_10","NoNemUninf_10","NemPrev_10","NoNemTotal_10","NoEimInf_10","NoEimUninf_10","EimPrev_10","NoEimTotal_10","PropOnGrid_14.1","NoNemInf_14.1","NoNemUninf_14.1","NemPrev_14.1","NoNemTotal_14.1","NoEimInf_14.1","NoEimUninf_14.1","EimPrev_14.1","NoEimTotal_14.1","PropOnGrid_20","NoNemInf_20","NoNemUninf_20","NemPrev_20","NoNemTotal_20","NoEimInf_20","NoEimUninf_20","EimPrev_20","NoEimTotal_20","PropOnGrid_22.4","NoNemInf_22.4","NoNemUninf_22.4","NemPrev_22.4","NoNemTotal_22.4","NoEimInf_22.4","NoEimUninf_22.4","EimPrev_22.4","NoEimTotal_22.4","PropOnGrid_28.3","NoNemInf_28.3","NoNemUninf_28.3","NemPrev_28.3","NoNemTotal_28.3","NoEimInf_28.3","NoEimUninf_28.3","EimPrev_28.3","NoEimTotal_28.3","PropOnGrid_30","NoNemInf_30","NoNemUninf_30","NemPrev_30","NoNemTotal_30","NoEimInf_30","NoEimUninf_30","EimPrev_30","NoEimTotal_30","PropOnGrid_31.6","NoNemInf_31.6","NoNemUninf_31.6","NemPrev_31.6","NoNemTotal_31.6","NoEimInf_31.6","NoEimUninf_31.6","EimPrev_31.6","NoEimTotal_31.6","PropOnGrid_36.1","NoNemInf_36.1","NoNemUninf_36.1","NemPrev_36.1","NoNemTotal_36.1","NoEimInf_36.1","NoEimUninf_36.1","EimPrev_36.1","NoEimTotal_36.1","PropOnGrid_40","NoNemInf_40","NoNemUninf_40","NemPrev_40","NoNemTotal_40","NoEimInf_40","NoEimUninf_40","EimPrev_40","NoEimTotal_40","PropOnGrid_50","NoNemInf_50","NoNemUninf_50","NemPrev_50","NoNemTotal_50","NoEimInf_50","NoEimUninf_50","EimPrev_50","NoEimTotal_50"
"28",52842550,"52842550-2012-06-19",50,80,"2012-06-19","HA1",2012,"F","Adult",142.857142857143,1,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,0,1,0,1,1,0,1,0,1,0,2,1,0.666666666666667,3,0,3,0,3,0,4,2,0.666666666666667,6,0,6,0,6,0,4,3,0.571428571428571,7,0,7,0,7,0,5,3,0.625,8,1,7,0.125,8,0,6,4,0.6,10,1,9,0.1,10,0,7,4,0.636363636363636,11,1,10,0.0909090909090909,11,0,12,7,0.631578947368421,19,1,18,0.0526315789473684,19
"29",67126571,"67126571-2012-06-19",60,60,"2012-06-19","HA1",2012,"F","NotAdult",7216.66666666667,0,0,1,1,0.5,2,0,2,0,2,0,1,1,0.5,2,0,2,0,2,0,1,1,0.5,2,0,2,0,2,0,1,1,0.5,2,0,2,0,2,0,1,3,0.25,4,0,4,0,4,0,1,3,0.25,4,0,4,0,4,0,3,3,0.5,6,0,6,0,6,0,5,4,0.555555555555556,9,1,8,0.111111111111111,9,0,5,5,0.5,10,1,9,0.1,10,0,10,9,0.526315789473684,19,2,17,0.105263157894737,19
"54",66859820,"66859820-2012-07-04",0,100,"2012-07-04","HA1",2012,"M","Adult",4.44444444444444,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,2,0,1,2,0,2,0,2,0,3,1,0.75,4,0,4,0,4,0,3,1,0.75,4,0,4,0,4,0,5,2,0.714285714285714,7,0,7,0,7
"67",67070550,"67070550-2012-07-17",20,60,"2012-07-17","HA1",2012,"F","NotAdult",15,0,0,1,3,0.25,4,0,4,0,4,0,1,3,0.25,4,0,4,0,4,0,1,3,0.25,4,0,4,0,4,0,1,3,0.25,4,0,4,0,4,0,1,4,0.2,5,0,5,0,5,0,1,4,0.2,5,0,5,0,5,0,1,6,0.142857142857143,7,0,7,0,7,0,2,6,0.25,8,0,8,0,8,0,3,8,0.272727272727273,11,1,10,0.0909090909090909,11,0,4,13,0.235294117647059,17,2,15,0.117647058823529,17
"73",66810776,"66810776-2012-07-17",70,0,"2012-07-17","HA1",2012,"M","Adult",606.25,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,2,0,2,0,2,0,2,0,0,2,0,2,0,2,0,2,0,0,2,0,2,0,2,0,2,0,0,3,0,3,0,3,0,3,0,0,4,0,4,0,4,0,4,0,0,5,0,5,0,5,0,5,0,0,7,0,7,0,7,0,7,0,0,7,0,7,0,7,0,7
"114",79639579,"79639579-2012-08-14",80,100,"2012-08-14","HA1",2012,"F","Adult",121.212121212121,0,0,1,2,0.333333333333333,3,0,3,0,3,0,2,3,0.4,5,0,5,0,5,0,2,4,0.333333333333333,6,0,6,0,6,0,3,4,0.428571428571429,7,0,7,0,7,0,3,5,0.375,8,0,8,0,8,0,3,5,0.375,8,0,8,0,8,0,3,5,0.375,8,0,8,0,8,0,3,5,0.375,8,0,8,0,8,0,3,5,0.375,8,0,8,0,8,0,3,6,0.333333333333333,9,0,9,0,9
"131",79779379,"79779379-2012-08-28",100,20,"2012-08-28","HA1",2012,"M","Adult",3.44827586206897,0,0,0,2,0,2,1,1,0.5,2,0,0,3,0,3,1,2,0.333333333333333,3,0,0,4,0,4,1,3,0.25,4,0,1,6,0.142857142857143,7,1,6,0.142857142857143,7,0,1,8,0.111111111111111,9,1,8,0.111111111111111,9,0,1,8,0.111111111111111,9,1,8,0.111111111111111,9,0,1,8,0.111111111111111,9,1,8,0.111111111111111,9,0,1,10,0.0909090909090909,11,2,9,0.181818181818182,11,0,1,10,0.0909090909090909,11,2,9,0.181818181818182,11,0,1,13,0.0714285714285714,14,3,11,0.214285714285714,14
"136",79774854,"79774854-2012-08-29",50,50,"2012-08-29","HA1",2012,"F","Adult",171.428571428571,0,0,0,3,0,3,2,1,0.666666666666667,3,0,0,3,0,3,2,1,0.666666666666667,3,0,2,3,0.4,5,2,3,0.4,5,0,2,4,0.333333333333333,6,2,4,0.333333333333333,6,0,2,5,0.285714285714286,7,2,5,0.285714285714286,7,0,2,9,0.181818181818182,11,3,8,0.272727272727273,11,0,2,11,0.153846153846154,13,4,9,0.307692307692308,13,0,3,13,0.1875,16,4,12,0.25,16,0,3,14,0.176470588235294,17,4,13,0.235294117647059,17,0,7,29,0.194444444444444,36,7,29,0.194444444444444,36
"163",79797266,"79797266-2012-09-11",20,30,"2012-09-11","HA1",2012,"F","NotAdult",7880,0,0,0,1,0,1,0,1,0,1,0,0,6,0,6,2,4,0.333333333333333,6,0,0,11,0,11,3,8,0.272727272727273,11,0,0,13,0,13,3,10,0.230769230769231,13,0,0,14,0,14,3,11,0.214285714285714,14,0,1,14,0.0666666666666667,15,3,12,0.2,15,0,1,19,0.05,20,5,15,0.25,20,0,3,22,0.12,25,6,19,0.24,25,0,3,22,0.12,25,6,19,0.24,25,0,3,26,0.103448275862069,29,7,22,0.241379310344828,29
"168",79796354,"79796354-2012-09-11",80,20,"2012-09-11","HA1",2012,"M","Adult",51.2820512820513,1,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,0,1,2,0.333333333333333,3,1,2,0.333333333333333,3,0,2,3,0.4,5,1,4,0.2,5,0,2,4,0.333333333333333,6,1,5,0.166666666666667,6,0,2,4,0.333333333333333,6,1,5,0.166666666666667,6,0,3,4,0.428571428571429,7,1,6,0.142857142857143,7,0,3,5,0.375,8,2,6,0.25,8,0,3,5,0.375,8,2,6,0.25,8,0,5,12,0.294117647058824,17,4,13,0.235294117647059,17
"169",79769830,"79769830-2012-09-11",90,40,"2012-09-11","HA1",2012,"F","Adult",484.615384615385,0,0,1,2,0.333333333333333,3,0,3,0,3,0,1,2,0.333333333333333,3,0,3,0,3,0,1,3,0.25,4,0,4,0,4,0,1,4,0.2,5,1,4,0.2,5,0,2,4,0.333333333333333,6,1,5,0.166666666666667,6,0,3,5,0.375,8,1,7,0.125,8,0,3,5,0.375,8,1,7,0.125,8,0,3,6,0.333333333333333,9,1,8,0.111111111111111,9,0,4,9,0.307692307692308,13,2,11,0.153846153846154,13,0,5,13,0.277777777777778,18,3,15,0.166666666666667,18
"178",79795857,"79795857-2012-09-13",30,100,"2012-09-13","HA1",2012,"M","Adult",73.6842105263158,0,0,1,10,0.0909090909090909,11,2,9,0.181818181818182,11,0,1,11,0.0833333333333333,12,2,10,0.166666666666667,12,0,2,13,0.133333333333333,15,2,13,0.133333333333333,15,0,2,15,0.117647058823529,17,2,15,0.117647058823529,17,0,3,19,0.136363636363636,22,4,18,0.181818181818182,22,0,3,26,0.103448275862069,29,4,25,0.137931034482759,29,0,3,30,0.0909090909090909,33,6,27,0.181818181818182,33,0,3,35,0.0789473684210526,38,8,30,0.210526315789474,38,0,3,35,0.0789473684210526,38,8,30,0.210526315789474,38,0,4,44,0.0833333333333333,48,11,37,0.229166666666667,48
